Time [s], Analyzer Name, Decoded Protocol Result
0.789156900000000,I2C,Setup Read to [0x2C] + ACK
0.789258700000000,I2C,0x1F + ACK
0.789341400000000,I2C,0x00 + ACK
0.789424000000000,I2C,0x04 + ACK
0.789506700000000,I2C,0x03 + ACK
0.789589300000000,I2C,0x00 + ACK
0.789671900000000,I2C,0x05 + ACK
0.791794200000000,I2C,0x00 + ACK
0.791888400000000,I2C,0x00 + NAK
0.792326600000000,I2C,Setup Read to [0x2C] + ACK
0.792593900000000,I2C,0x04 + ACK
0.792676500000000,I2C,0x03 + ACK
0.792759100000000,I2C,0x00 + ACK
0.792841800000000,I2C,0x05 + ACK
0.792924400000000,I2C,0x02 + ACK
0.793007100000000,I2C,0xE0 + ACK
0.795058400000000,I2C,0x00 + NAK
